date;speaking;pitch;energy;nodding
1;0;0.00000;0.00000;0
2;0;0.00000;0.00000;1
3;0;0.00000;0.00000;1
4;0;0.00000;0.00000;1
5;0;0.00000;0.00000;1
6;0;0.00000;0.00000;1
7;0;0.00000;0.00000;1
8;0;0.00000;0.00000;0
9;0;0.00000;0.00000;0
10;0;0.00000;0.00000;0
11;0;0.00000;0.00000;1
12;0;0.00000;0.00000;1
13;0;0.00000;0.00000;0
14;0;0.00000;0.00000;1
15;0;0.00000;0.00000;1
16;0;0.00000;0.00000;1
17;0;0.00000;0.00000;1
18;0;0.00000;0.00000;1
19;0;0.00000;0.00000;1
20;0;0.00000;0.00000;0
21;0;0.00000;0.00000;0
22;0;0.00000;0.00000;0
23;1;241.12610;0.00233;0
24;1;252.04896;0.00241;0
25;1;247.61623;0.00220;0
26;1;219.49384;0.00199;0
27;1;223.18714;0.00479;0
28;1;217.30909;0.00186;0
29;1;223.96771;0.00163;0
30;1;215.84512;0.00155;0
31;1;227.49506;0.00283;0
32;1;206.33081;0.00071;0
33;1;187.32968;0.00105;0
34;1;226.21878;0.00444;0
35;1;231.44886;0.00245;0
36;1;184.45203;0.00057;1
37;1;198.68052;0.00245;0
38;1;202.85468;0.00338;0
39;1;221.78895;0.00396;0
40;1;221.81849;0.00177;0
41;1;209.25743;0.00139;0
42;1;190.02694;0.00101;0
43;1;188.03651;0.00040;0
44;0;0.00000;0.00000;1
45;0;0.00000;0.00000;0
46;0;0.00000;0.00000;0
47;0;0.00000;0.00000;0
48;0;0.00000;0.00000;0
49;1;207.60130;0.00343;0
50;1;208.12891;0.00446;1
51;1;212.67779;0.00405;0
52;1;223.09016;0.00171;0
53;1;231.61656;0.00451;0
54;1;200.72545;0.00220;0
55;1;185.48861;0.00197;0
56;1;195.66069;0.00150;0
57;1;199.87279;0.00724;0
58;1;217.83329;0.00174;0
59;1;198.55394;0.00408;0
60;1;201.47790;0.00161;0
61;1;202.57638;0.00137;0
62;1;203.12056;0.00521;0
63;1;218.82321;0.00366;1
64;1;227.22305;0.00548;1
65;1;225.05649;0.00415;1
66;1;157.46274;0.00056;0
67;1;186.33339;0.00243;0
68;1;226.98221;0.00301;0
69;1;213.78418;0.00543;0
70;1;220.53377;0.00481;1
71;1;219.89375;0.00294;1
72;1;199.15727;0.00082;0
