"date","speaking","pitch","energy","nodding"
"2016/02/03 00:00:0.250",0,0.00000,0.00000,0
"2016/02/03 00:00:0.500",0,0.00000,0.00000,0
"2016/02/03 00:00:0.750",0,0.00000,0.00000,0
"2016/02/03 00:00:1.000",0,0.00000,0.00000,0
"2016/02/03 00:00:1.250",0,0.00000,0.00000,0
"2016/02/03 00:00:1.500",0,0.00000,0.00000,0
"2016/02/03 00:00:1.750",0,0.00000,0.00000,0
"2016/02/03 00:00:2.000",0,0.00000,0.00000,0
"2016/02/03 00:00:2.250",0,0.00000,0.00000,1
"2016/02/03 00:00:2.500",0,0.00000,0.00000,1
"2016/02/03 00:00:2.750",0,0.00000,0.00000,1
"2016/02/03 00:00:3.000",0,0.00000,0.00000,0
"2016/02/03 00:00:3.250",0,0.00000,0.00000,1
"2016/02/03 00:00:3.500",0,0.00000,0.00000,1
"2016/02/03 00:00:3.750",0,0.00000,0.00000,1
"2016/02/03 00:00:4.000",0,0.00000,0.00000,0
"2016/02/03 00:00:4.250",0,0.00000,0.00000,0
"2016/02/03 00:00:4.500",0,0.00000,0.00000,0
"2016/02/03 00:00:4.750",0,0.00000,0.00000,1
"2016/02/03 00:00:5.000",0,0.00000,0.00000,1
"2016/02/03 00:00:5.250",0,0.00000,0.00000,0
"2016/02/03 00:00:5.500",0,0.00000,0.00000,0
"2016/02/03 00:00:5.750",0,0.00000,0.00000,0
"2016/02/03 00:00:6.000",0,0.00000,0.00000,0
"2016/02/03 00:00:6.250",0,0.00000,0.00000,1
"2016/02/03 00:00:6.500",0,0.00000,0.00000,1
"2016/02/03 00:00:6.750",0,0.00000,0.00000,1
"2016/02/03 00:00:7.000",0,0.00000,0.00000,0
"2016/02/03 00:00:7.250",0,0.00000,0.00000,0
"2016/02/03 00:00:7.500",0,0.00000,0.00000,0
"2016/02/03 00:00:7.750",0,0.00000,0.00000,0
"2016/02/03 00:00:8.000",0,0.00000,0.00000,0
"2016/02/03 00:00:8.250",0,0.00000,0.00000,0
"2016/02/03 00:00:8.500",0,0.00000,0.00000,0
"2016/02/03 00:00:8.750",0,0.00000,0.00000,0
"2016/02/03 00:00:9.000",0,0.00000,0.00000,0
"2016/02/03 00:00:9.250",0,0.00000,0.00000,0
"2016/02/03 00:00:9.500",0,0.00000,0.00000,0
"2016/02/03 00:00:9.750",0,0.00000,0.00000,0
"2016/02/03 00:00:10.000",0,0.00000,0.00000,0
"2016/02/03 00:00:10.250",0,0.00000,0.00000,0
"2016/02/03 00:00:10.500",0,0.00000,0.00000,0
"2016/02/03 00:00:10.750",0,0.00000,0.00000,0
"2016/02/03 00:00:11.000",0,0.00000,0.00000,0
"2016/02/03 00:00:11.250",0,0.00000,0.00000,0
"2016/02/03 00:00:11.500",0,0.00000,0.00000,1
"2016/02/03 00:00:11.750",0,0.00000,0.00000,1
"2016/02/03 00:00:12.000",0,0.00000,0.00000,1
"2016/02/03 00:00:12.250",0,0.00000,0.00000,0
"2016/02/03 00:00:12.500",0,0.00000,0.00000,0
"2016/02/03 00:00:12.750",0,0.00000,0.00000,0
"2016/02/03 00:00:13.000",0,0.00000,0.00000,0
"2016/02/03 00:00:13.250",0,0.00000,0.00000,0
"2016/02/03 00:00:13.500",0,0.00000,0.00000,0
"2016/02/03 00:00:13.750",0,0.00000,0.00000,0
"2016/02/03 00:00:14.000",0,0.00000,0.00000,1
"2016/02/03 00:00:14.250",0,0.00000,0.00000,1
"2016/02/03 00:00:14.500",0,0.00000,0.00000,1
"2016/02/03 00:00:14.750",0,0.00000,0.00000,1
"2016/02/03 00:00:15.000",0,0.00000,0.00000,1
"2016/02/03 00:00:15.250",0,0.00000,0.00000,1
"2016/02/03 00:00:15.500",0,0.00000,0.00000,1
"2016/02/03 00:00:15.750",0,0.00000,0.00000,1
"2016/02/03 00:00:16.000",0,0.00000,0.00000,1
"2016/02/03 00:00:16.250",0,0.00000,0.00000,1
"2016/02/03 00:00:16.500",0,0.00000,0.00000,1
"2016/02/03 00:00:16.750",0,0.00000,0.00000,1
"2016/02/03 00:00:17.000",0,0.00000,0.00000,1
"2016/02/03 00:00:17.250",0,0.00000,0.00000,1
"2016/02/03 00:00:17.500",0,0.00000,0.00000,1
"2016/02/03 00:00:17.750",0,0.00000,0.00000,1
"2016/02/03 00:00:18.000",0,0.00000,0.00000,1
"2016/02/03 00:00:18.250",0,0.00000,0.00000,1
"2016/02/03 00:00:18.500",0,0.00000,0.00000,1
"2016/02/03 00:00:18.750",0,0.00000,0.00000,0
"2016/02/03 00:00:19.000",0,0.00000,0.00000,0
"2016/02/03 00:00:19.250",0,0.00000,0.00000,0
"2016/02/03 00:00:19.500",0,0.00000,0.00000,0
"2016/02/03 00:00:19.750",0,0.00000,0.00000,0
"2016/02/03 00:00:20.000",0,0.00000,0.00000,0
"2016/02/03 00:00:20.250",0,0.00000,0.00000,0
"2016/02/03 00:00:20.500",0,0.00000,0.00000,0
"2016/02/03 00:00:20.750",0,0.00000,0.00000,0
"2016/02/03 00:00:21.000",0,0.00000,0.00000,0
"2016/02/03 00:00:21.250",0,0.00000,0.00000,0
"2016/02/03 00:00:21.500",0,0.00000,0.00000,0
"2016/02/03 00:00:21.750",0,0.00000,0.00000,0
"2016/02/03 00:00:22.000",0,0.00000,0.00000,0
"2016/02/03 00:00:22.250",0,0.00000,0.00000,0
"2016/02/03 00:00:22.500",0,0.00000,0.00000,0
"2016/02/03 00:00:22.750",1,268.75381,0.00468,0
"2016/02/03 00:00:23.000",1,277.56714,0.00272,0
"2016/02/03 00:00:23.250",1,269.58238,0.00245,0
"2016/02/03 00:00:23.500",1,226.81286,0.00126,0
"2016/02/03 00:00:23.750",1,236.07381,0.00283,0
"2016/02/03 00:00:24.000",1,229.23048,0.00194,0
"2016/02/03 00:00:24.250",1,270.40857,0.00283,0
"2016/02/03 00:00:24.500",1,304.75190,0.00287,0
"2016/02/03 00:00:24.750",1,229.35667,0.00161,0
"2016/02/03 00:00:25.000",1,229.38000,0.00205,0
"2016/02/03 00:00:25.250",1,218.79857,0.00190,0
"2016/02/03 00:00:25.500",1,268.38619,0.00282,0
"2016/02/03 00:00:25.750",1,249.21514,0.00009,0
"2016/02/03 00:00:26.000",1,187.54838,0.00000,0
"2016/02/03 00:00:26.250",1,206.05895,0.00131,0
"2016/02/03 00:00:26.500",1,213.77190,0.00519,0
"2016/02/03 00:00:26.750",1,220.07000,0.00322,0
"2016/02/03 00:00:27.000",1,236.80714,0.00716,0
"2016/02/03 00:00:27.250",1,225.15095,0.00852,0
"2016/02/03 00:00:27.500",1,220.23143,0.00145,0
"2016/02/03 00:00:27.750",1,221.69095,0.00260,0
"2016/02/03 00:00:28.000",1,216.53762,0.00214,0
"2016/02/03 00:00:28.250",1,207.31286,0.00164,0
"2016/02/03 00:00:28.500",1,223.11095,0.00123,0
"2016/02/03 00:00:28.750",1,235.92048,0.00498,0
"2016/02/03 00:00:29.000",1,260.55333,0.00220,0
"2016/02/03 00:00:29.250",1,195.20048,0.00000,0
"2016/02/03 00:00:29.500",1,207.52781,0.00000,0
"2016/02/03 00:00:29.750",1,200.68714,0.00141,0
"2016/02/03 00:00:30.000",1,216.32238,0.00137,0
"2016/02/03 00:00:30.250",1,225.33048,0.00269,0
"2016/02/03 00:00:30.500",1,218.58571,0.00274,0
"2016/02/03 00:00:30.750",1,234.34143,0.00111,0
"2016/02/03 00:00:31.000",1,242.59857,0.00289,0
"2016/02/03 00:00:31.250",1,223.30667,0.00240,0
"2016/02/03 00:00:31.500",1,223.51857,0.00303,0
"2016/02/03 00:00:31.750",1,241.10190,0.00160,0
"2016/02/03 00:00:32.000",1,182.07638,0.00000,0
"2016/02/03 00:00:32.250",1,197.50852,0.00000,0
"2016/02/03 00:00:32.500",1,171.26519,0.00000,0
"2016/02/03 00:00:32.750",1,162.15000,0.00000,0
"2016/02/03 00:00:33.000",1,174.66190,0.00023,0
"2016/02/03 00:00:33.250",1,202.01381,0.00204,0
"2016/02/03 00:00:33.500",1,213.33267,0.00297,0
"2016/02/03 00:00:33.750",1,229.62952,0.00458,0
"2016/02/03 00:00:34.000",1,232.13381,0.00984,0
"2016/02/03 00:00:34.250",1,231.26095,0.00207,0
"2016/02/03 00:00:34.500",1,220.86190,0.00095,0
"2016/02/03 00:00:34.750",1,222.85010,0.00426,0
"2016/02/03 00:00:35.000",1,242.96667,0.00432,0
"2016/02/03 00:00:35.250",1,211.26143,0.00178,0
"2016/02/03 00:00:35.500",1,249.04571,0.00218,0
"2016/02/03 00:00:35.750",1,186.66133,0.00001,0
"2016/02/03 00:00:36.000",1,165.86981,0.00000,1
"2016/02/03 00:00:36.250",1,157.90371,0.00000,1
"2016/02/03 00:00:36.500",1,179.46048,0.00078,0
"2016/02/03 00:00:36.750",1,203.19714,0.00256,0
"2016/02/03 00:00:37.000",1,190.72619,0.00289,0
"2016/02/03 00:00:37.250",1,215.21667,0.00239,0
"2016/02/03 00:00:37.500",1,209.51952,0.00389,0
"2016/02/03 00:00:37.750",1,203.79190,0.00426,0
"2016/02/03 00:00:38.000",1,192.37286,0.00406,0
"2016/02/03 00:00:38.250",1,201.41762,0.00048,0
"2016/02/03 00:00:38.500",1,214.41333,0.00352,0
"2016/02/03 00:00:38.750",1,198.56143,0.00339,0
"2016/02/03 00:00:39.000",1,206.00381,0.00341,0
"2016/02/03 00:00:39.250",1,234.07952,0.00732,0
"2016/02/03 00:00:39.500",1,278.01995,0.00309,0
"2016/02/03 00:00:39.750",1,213.41424,0.00269,0
"2016/02/03 00:00:40.000",1,227.96190,0.00257,0
"2016/02/03 00:00:40.250",1,230.88595,0.00054,0
"2016/02/03 00:00:40.500",1,171.30619,0.00000,0
"2016/02/03 00:00:40.750",1,171.37771,0.00000,0
"2016/02/03 00:00:41.000",1,227.23114,0.00031,0
"2016/02/03 00:00:41.250",1,214.92190,0.00286,0
"2016/02/03 00:00:41.500",1,228.61381,0.00364,0
"2016/02/03 00:00:41.750",1,204.62857,0.00139,0
"2016/02/03 00:00:42.000",1,180.42529,0.00008,0
"2016/02/03 00:00:42.250",1,180.18338,0.00000,0
"2016/02/03 00:00:42.500",1,155.54148,0.00000,0
"2016/02/03 00:00:42.750",1,173.33548,0.00000,0
"2016/02/03 00:00:43.000",0,0.00000,0.00000,0
"2016/02/03 00:00:43.250",0,0.00000,0.00000,0
"2016/02/03 00:00:43.500",0,0.00000,0.00000,0
"2016/02/03 00:00:43.750",0,0.00000,0.00000,1
"2016/02/03 00:00:44.000",0,0.00000,0.00000,1
"2016/02/03 00:00:44.250",0,0.00000,0.00000,1
"2016/02/03 00:00:44.500",0,0.00000,0.00000,0
"2016/02/03 00:00:44.750",0,0.00000,0.00000,0
"2016/02/03 00:00:45.000",0,0.00000,0.00000,0
"2016/02/03 00:00:45.250",0,0.00000,0.00000,0
"2016/02/03 00:00:45.500",0,0.00000,0.00000,0
"2016/02/03 00:00:45.750",0,0.00000,0.00000,0
"2016/02/03 00:00:46.000",0,0.00000,0.00000,0
"2016/02/03 00:00:46.250",0,0.00000,0.00000,0
"2016/02/03 00:00:46.500",0,0.00000,0.00000,0
